"order_id","order_date","supplier_id","supplier_name","product_id","product_name","batch_number","expiration_date","quantity_ordered","unit_of_measure","order_status","shipment_id","shipment_date","carrier_name","tracking_number","expected_delivery_date","actual_delivery_date","destination_facility_id","destination_facility_name","destination_street_address","destination_city","destination_state","destination_postal_code","destination_country","storage_location_id","storage_condition","storage_entry_date","storage_exit_date","current_inventory_level","stockout_flag","last_updated"
"ORD00001","2023-02-14T09:32:00Z","SUP001","Global Pharma Inc.","PRD1001","Atorvastatin Calcium Tablets","ATC202302A","2025-03-31","5000","tablets","delivered","SHIP1001A","2023-02-15T14:12:00Z","DHL Express","DHL998774","2023-02-18","2023-02-18","FAC001","Midtown General Hospital","123 Elm Street","Chicago","IL","60611","USA","STOR01","room temperature","2023-02-18T16:20:00Z","","5400","false","2023-02-18T18:05:00Z"
"ORD00002","2023-02-15T11:27:00Z","SUP002","Northway Biologics Ltd.","PRD1002","Influenza Vaccine Quadrivalent","INFQV2023B","2024-12-15","100","vials","shipped","SHIP1002B","2023-02-16T10:10:00Z","UPS Healthcare","UPSFLU1234","2023-02-19","","FAC002","Maple Pharmacy","77 Maple Avenue","Minneapolis","MN","55401","USA","COOL01","refrigerated","","","100","false","2023-02-16T10:11:00Z"
"ORD00003","2023-02-19T13:51:00Z","SUP003","Cardio Health Solutions","PRD1003","Metoprolol Tartrate Tablets","MET20230215","2026-02-15","8000","tablets","delivered","SHIP1003C","2023-02-20T08:00:00Z","FedEx Supply Chain","FDXMTPL234","2023-02-22","2023-02-22","FAC003","Green Valley Clinic","201 Oak Lane","Dallas","TX","75201","USA","STOR02","room temperature","2023-02-22T12:16:00Z","","8320","false","2023-02-22T14:35:00Z"
"ORD00004","2023-02-23T17:42:00Z","SUP004","EuroPharm Distribution","PRD1004","Oxycodone Hydrochloride Capsules","OXY2023C02","2025-02-28","20","capsules","pending","","","","","","","FAC004","Emerald Rehabilitation Center","45 Cedar Boulevard","New York","NY","10016","USA","","controlled substance","","","0","false","2023-02-23T17:43:00Z"
"ORD00005","2023-03-01T10:00:00Z","SUP005","AmeriMeds Wholesale","PRD1005","Amoxicillin Oral Suspension","AMX20230301","2025-09-30","200","bottles","cancelled","","","","","","","FAC005","Downtown Family Pharmacy","49 Main Street","Denver","CO","80202","USA","","","","","0","true","2023-03-01T10:02:00Z"
"ORD00006","2023-03-02T15:20:00Z","SUP002","Northway Biologics Ltd.","PRD1006","Human Insulin Injection Vial","INS20230302A","2025-03-28","80","vials","shipped","SHIP1006A","2023-03-03T17:00:00Z","Cardinal Health","CRDINS980","2023-03-06","","FAC006","St. George's Hospital","2201 Pine Street","Philadelphia","PA","19103","USA","COOL02","refrigerated","","","80","false","2023-03-03T17:01:00Z"
"ORD00007","2023-03-05T08:12:00Z","SUP006","VaccineWorks Europe","PRD1007","COVID-19 mRNA Vaccine","COV19MRNA2023A","2024-09-04","3000","doses","delivered","SHIP1007A","2023-03-06T11:15:00Z","UPS Healthcare","UPSCOVID7A","2023-03-08","2023-03-08","FAC007","Harmony Medical Center","5 Willow Road","Houston","TX","77002","USA","FZR01","frozen","2023-03-08T13:30:00Z","","2950","false","2023-03-08T14:08:00Z"
"ORD00008","2023-03-07T13:44:00Z","SUP003","Cardio Health Solutions","PRD1008","Epinephrine Auto-Injector","EPI20230307","2025-08-31","36","pens","delivered","SHIP1008A","2023-03-08T08:55:00Z","FedEx Supply Chain","FDXEPI888","2023-03-09","2023-03-09","FAC008","Sunrise Outpatient Clinic","238 Lakeview Drive","Seattle","WA","98101","USA","STOR03","room temperature","2023-03-09T10:20:00Z","","36","false","2023-03-09T13:00:00Z"
"ORD00009","2023-03-10T15:21:00Z","SUP007","Nova Chem Corporation","PRD1009","Methotrexate Injection","MTX20230310","2024-07-31","16","ampules","delivered","SHIP1009A","2023-03-11T11:32:00Z","AmerisourceBergen","AMSBMTX16","2023-03-13","2023-03-13","FAC009","Redwood Cancer Institute","98 Redwood Road","San Francisco","CA","94117","USA","HAZ01","hazardous","2023-03-13T12:00:00Z","","0","true","2023-03-13T12:09:00Z"
"ORD00010","2023-03-12T09:50:00Z","SUP008","Nordic Pharma AS","PRD1010","Diazepam Rectal Gel","DZP20230312A","2026-03-31","24","tubes","pending","","","","","","","FAC010","Bayshore Children’s Hospital","11 Harbor View","Miami","FL","33136","USA","","controlled substance","","","0","false","2023-03-12T09:51:00Z"
"ORD00011","2023-04-01T08:15:00Z","SUP009","Bayer Healthcare","PRD1011","Levothyroxine Sodium Tablets","LEV20230401","2026-04-30","10000","tablets","delivered","SHIP1011A","2023-04-02T16:00:00Z","FedEx Supply Chain","FDXLEV0110","2023-04-05","2023-04-05","FAC011","Saint Michael Hospital","355 Lake Street","Buffalo","NY","14202","USA","STOR04","room temperature","2023-04-05T19:20:00Z","","10250","false","2023-04-05T20:00:00Z"
"ORD00012","2023-04-02T10:12:00Z","SUP010","Medline Canada","PRD1012","Clopidogrel Bisulfate Tablets","CLOP20230402","2025-05-30","250","boxes","cancelled","","","","","","","FAC012","Queen Victoria Medical Center","17 Queen Street","Toronto","ON","M5G2C2","Canada","","","","","0","true","2023-04-02T10:13:00Z"
"ORD00013","2023-04-07T12:04:00Z","SUP011","Sandoz Pharmaceuticals","PRD1013","Fentanyl Transdermal System","FEN20230407","2026-06-30","12","patches","delivered","SHIP1013A","2023-04-08T09:15:00Z","McKesson Medical","MCKFEN123","2023-04-10","2023-04-10","FAC013","Mercy Pain Management","700 South St.","Edmonton","AB","T5J4B7","Canada","CTRL01","controlled substance","2023-04-10T13:22:00Z","","0","true","2023-04-10T14:00:00Z"
"ORD00014","2023-04-11T15:33:00Z","SUP012","Berlin Arzneimittel","PRD1014","Ibuprofen 400mg Tablets","IBU20230411","2026-05-31","6000","tablets","delivered","SHIP1014A","2023-04-12T11:00:00Z","DHL Express","DHLIBU6000","2023-04-14","2023-04-14","FAC014","Universitätsklinikum Berlin","Charitéplatz 1","Berlin","BE","10117","Germany","STOR05","room temperature","2023-04-14T14:00:00Z","","6100","false","2023-04-14T15:00:00Z"
"ORD00015","2023-04-14T13:00:00Z","SUP002","Northway Biologics Ltd.","PRD1002","Influenza Vaccine Quadrivalent","INFQV2023C","2024-12-15","50","vials","backordered","","","","","","","FAC015","Norwegian Health Clinic","Storgata 50","Oslo","OS","0179","Norway","","refrigerated","","","0","true","2023-04-14T13:01:00Z"
"ORD00016","2023-04-17T09:05:00Z","SUP013","Norway Health Supply","PRD1015","Paracetamol Oral Suspension","PARA20230417","2025-09-30","247","bottles","delivered","SHIP1015A","2023-04-18T08:45:00Z","Bring Logistics","BRGPARA247","2023-04-20","2023-04-20","FAC016","Oslo Pediatric Center","Dronning Eufemias gate 20","Oslo","OS","0191","Norway","STOR06","room temperature","2023-04-20T11:30:00Z","","250","false","2023-04-20T12:00:00Z"
"ORD00017","2023-04-18T16:10:00Z","SUP014","Cytomed Pharmaceuticals","PRD1016","Docetaxel Injection","DOC20230418B","2025-11-30","10","vials","delivered","SHIP1016A","2023-04-19T10:10:00Z","AmerisourceBergen","AMSDOC010","2023-04-21","2023-04-21","FAC017","Walnut Oncology Center","900 Walnut Ave","Columbus","OH","43215","USA","HAZ02","hazardous","2023-04-21T13:00:00Z","","0","true","2023-04-21T13:10:00Z"
"ORD00018","2023-04-20T12:55:00Z","SUP015","Pfizer Inc.","PRD1017","Amlodipine Besylate Tablets","AML20230420A","2025-12-31","600","tablets","delivered","SHIP1017A","2023-04-21T09:22:00Z","FedEx Supply Chain","FDXAML0600","2023-04-23","2023-04-23","FAC018","St. Lawrence Hospital","44 University Ave","Kingston","ON","K7L3N6","Canada","STOR07","room temperature","2023-04-23T14:00:00Z","","650","false","2023-04-23T16:10:00Z"
"ORD00019","2023-04-25T10:25:00Z","SUP001","Global Pharma Inc.","PRD1001","Atorvastatin Calcium Tablets","ATC20230425","2026-06-30","9999","tablets","delivered","SHIP1001B","2023-04-26T15:00:00Z","DHL Express","DHL998799","2023-04-29","2023-04-29","FAC019","Westside Medical Center","88 Westside Blvd","Los Angeles","CA","90017","USA","STOR08","room temperature","2023-04-29T17:30:00Z","","10000","false","2023-04-29T17:40:00Z"
"ORD00020","2023-04-28T16:10:00Z","SUP002","Northway Biologics Ltd.","PRD1002","Influenza Vaccine Quadrivalent","INFQV2023D","2024-12-15","80","vials","shipped","SHIP1002C","2023-04-29T09:00:00Z","UPS Healthcare","UPSFLU2102","2023-05-01","","FAC020","Evergreen Pediatrics","1200 Spruce Drive","Portland","OR","97209","USA","COOL03","refrigerated","","","80","false","2023-04-29T09:01:00Z"
